sample_188	4	9	18	31	34	47
sample_189	5	8	19	30	35	46
sample_190	6	11	16	29	32	45
sample_191	7	10	17	28	33	44
sample_192	0	11	23	28	33	42
sample_193	1	10	22	29	32	43
sample_194	2	9	21	30	35	40
sample_195	3	8	20	31	34	41
sample_196	4	15	19	24	37	46
sample_197	5	14	18	25	36	47
sample_198	6	13	17	26	39	44
sample_199	7	12	16	27	38	45
sample_200	0	10	21	31	37	47
sample_201	1	11	20	30	36	46
sample_202	2	8	23	29	39	45
sample_203	3	9	22	28	38	44
sample_204	4	14	17	27	33	43
sample_205	5	15	16	26	32	42
sample_206	6	12	19	25	35	41
sample_207	7	13	18	24	34	40
sample_208	0	9	19	26	34	43
sample_209	1	8	18	27	35	42
sample_210	2	11	17	24	32	41
sample_211	3	10	16	25	33	40
sample_212	4	13	23	30	38	47
sample_213	5	12	22	31	39	46
sample_214	6	15	21	28	36	45
sample_215	7	14	20	29	37	44
sample_216	0	8	17	25	38	46
sample_217	1	9	16	24	39	47
sample_218	2	10	19	27	36	44
sample_219	3	11	18	26	37	45
sample_220	4	12	21	29	34	42
sample_221	5	13	20	28	35	43
sample_222	6	14	23	31	32	40
sample_223	7	15	22	30	33	41
sample_224	0	15	20	27	39	40
sample_225	1	14	21	26	38	41
sample_226	2	13	22	25	37	42
sample_227	3	12	23	24	36	43
sample_228	4	11	16	31	35	44
sample_229	5	10	17	30	34	45
sample_230	6	9	18	29	33	46
sample_231	7	8	19	28	32	47
sample_232	0	14	22	24	35	45
sample_233	1	15	23	25	34	44
sample_234	2	12	20	26	33	47
sample_235	3	13	21	27	32	46
sample_236	4	10	18	28	39	41
sample_237	5	11	19	29	38	40
sample_238	6	8	16	30	37	43
sample_239	7	9	17	31	36	42
sample_240	0	13	16	29	36	41
sample_241	1	12	17	28	37	40
sample_242	2	15	18	31	38	43
sample_243	3	14	19	30	39	42
sample_244	4	9	20	25	32	45
sample_245	5	8	21	24	33	44
sample_246	6	11	22	27	34	47
sample_247	7	10	23	26	35	46
sample_248	0	12	18	30	32	44
sample_249	1	13	19	31	33	45
sample_250	2	14	16	28	34	46
sample_251	3	15	17	29	35	47
sample_252	4	8	22	26	36	40
